,title,rating,reviews,type,address,serviceOptions,gpsCoordinates,website,phone
4131,"Dr. SRISHTI (Dubey) MISHRA, Dr. Srishti's Skin Clinic-Best Skin Specialist in Raipur/Cosmetologist/Hair Transplant/Aesthetics",4.8,17,Skin care clinic,"Jai Laxmi Complex, M. M. Hospital","""I am very happy and satisfy with Dr shristi's clinic .""","{""latitude"":""21.2604321"",""longitude"":""81.6366866""}",,07712990162
4133,Reyouth skin and hair clinic,4.9,76,Skin care clinic,"Near, Agrasen Chowk","""The clinic is in the heart of the city and is accessible to all.""","{""latitude"":""21.2466003"",""longitude"":""81.6255637""}",,08400140086
4135,NIDAAN PHYSIOTHERAPY CLINIC,3.0,4,Physiotherapy Center,Physiotherapy Center,,"{""latitude"":""21.2572699"",""longitude"":""81.6429441""}",,09993823671
4136,Dr. Thakur Dental Care Clinic,5.0,23,Dental clinic,Lily Chowk,"""Best dental clinic in Raipur""","{""latitude"":""21.2344436"",""longitude"":""81.6261782""}",https://dr-thakur-dental-care-clinic.business.site/?utm_source=gmb&utm_medium=referral,07723888603
4137,Ashrya Chiropractic & Physiotherapy Centre,4.9,210,Chiropractor,"Ews, 28/3, 29/3, opp. Garden","""Everybody must visit to clinic.""","{""latitude"":""21.2595556"",""longitude"":""81.6409483""}",,09827106933
4138,Absolute Skin Clinic,4.5,109,Skin care clinic,C-152,"""Neat , hygiene, well designed clinic.""","{""latitude"":""21.2567926"",""longitude"":""81.6450505""}",,07869151992
4139,Sita Memorial Dental Clinic,4.7,43,Dental clinic,Ramnath Bhimsen Road Opp Krishna Adlab Theatre,"""Sita Memorial Dental Clinic, Play a crucial role in maintaining our ...""","{""latitude"":""21.2455149"",""longitude"":""81.624613""}",http://www.sitadental.com/,09993249054
4141,Muskan Dental Clinic,4.2,16,Dental clinic,"7J7Q+943, Fafadih Rd","""Muskan Dental Clinic is a good clinic ...""","{""latitude"":""21.2633759"",""longitude"":""81.6378089""}",,08435254848
4147,"Dr Veronica Yuel Clinic - Test Tube Baby & IVF Center, Raipur",4.5,29,Fertility clinic,"Sircar Building, Opposite Balgopal Hospital, near Mahila Thana and Aashirwad Bhavan",,"{""latitude"":""21.234929"",""longitude"":""81.641849""}",https://www.drveronicayuelclinic.com/,09424200639
4148,Dr. S.S. Varma Skin Clinic,2.5,76,Skin care clinic,"2/6, Pandri Rd",,"{""latitude"":""21.2504805"",""longitude"":""81.6476253""}",,07712426677
4155,Kulkarni Dental Clinic,5.0,5,Dental clinic,"1st Floor, Kulkarni Commercial Complex, Sindhi Bazar, Near Gujarati School, Ramsagar Para Main Rd",,"{""latitude"":""21.2449663"",""longitude"":""81.6344025""}",https://kulkarnidentalclinic.business.site/?m=true,07987743700
4156,Dental Clinic,3.7,6,Dental clinic,"Guru Ghasidas Complex, Great Eastern Rd","""Best dental clinic of chhattisgarh""","{""latitude"":""21.240679"",""longitude"":""81.623508""}",,07714033724
4157,Dr. Matreja Memorial ENT Clinic & Day Care Centre,3.4,26,ENT Specialist,Phool Chowk Main Rd,"""Nice facilities by clinic..""","{""latitude"":""21.2424037"",""longitude"":""81.6338394""}",https://dr-matreja-clinic.business.site/?m=true,09827134128
4158,"KAYNA COSMETIC & LASER CLINIC ! SKIN CARE & HAIR TRANSPLANT CLINIC RAIPUR, CG.",4.9,137,Skin care clinic,Opposite D.K Superspeciality Hospital Shashtri Chowk - Motibagh Chowk Road,"""Very nice clinic ☺️☺️""","{""latitude"":""21.2456214"",""longitude"":""81.6403343""}",https://www.kayna.co.in/,09516870007
4159,Devi Multispeciality Dental Clinic,5.0,32,Dental clinic,"Beside shiv vatika colony , near Binda sonkar school Ashwini nagar, Mahadev Ghat Rd, near Sundar nagar","""Awesome Clinic, professional staff.""","{""latitude"":""21.2363085"",""longitude"":""81.6144825""}",,07772931007
4161,Vedant Dental Clinic,5.0,1,Dental clinic,Dental clinic,,"{""latitude"":""21.235722"",""longitude"":""81.636573""}",,09993860122
4163,Cosmo Dental Clinic,4.9,9,Dental clinic,"In Front Of DM PLAZA, Chotapara Road- Baijnath Para Raipur Chhattisgarh 492001 IN Road from Rajiv Gandhi chowk, towards Kotwali Chowk","""I am very happy and blessed to have such clinic in my city.""","{""latitude"":""21.2385474"",""longitude"":""81.6400631""}",https://cosmo-dental-clinic-dental-clinic.business.site/?utm_source=gmb&utm_medium=referral,07714088893
4164,Dr Mrityunjay Manyashi Skin Cosmetic Clinic,4.9,12,Skin care clinic,"Near Radhe Chamber, Mandi Gate- Ram Mandir Rd",,"{""latitude"":""21.2598577"",""longitude"":""81.653152""}",https://manyashi-skin-cosmetic-gyaene-clinic.business.site/?utm_source=gmb&utm_medium=referral,09630035654
4165,D-CARE Dental clinic,4.9,13,Dental clinic,"27/1, near anuvrat residency","""Best clinic for dental treatment....Dr.""","{""latitude"":""21.2507992"",""longitude"":""81.6547004""}",https://d-caredental.com/,08109777103
4167,Shree Shyam Clinic,4.9,10,Medical clinic,Clinic Cum Resi.:Mesnit 42 C.G,"""Best clinic in raipur""","{""latitude"":""21.2520656"",""longitude"":""81.6627495""}",,08719917777
4168,HOMOEOPATHIC HEALTH CURE & CARE CLINIC / Dr Dumeshwar Dewangan,5.0,2,Medical clinic,"Bamleshwari nagar chowk ,gudhiyari",,"{""latitude"":""21.2696436"",""longitude"":""81.6180076""}",https://www.linkedin.com/mwlite/in/dr-dumeshwar-dewangan-91351b186,07000593474
4170,Om Dental Clinic & Implant Center,5.0,1,Dental clinic,"C-8, Sector-2, Devendra Nagar",,"{""latitude"":""21.2585239"",""longitude"":""81.6459435""}",,07587238240
4173,"Dr. Prachi Bhattar's Skin, Hair Clinic & Cosmetology Center",4.9,"2,375",Skin care clinic,"8/354, Nalghar Chowk, near Mahila Police Station","""Nice  clinic and doctor""","{""latitude"":""21.2369331"",""longitude"":""81.6418206""}",https://www.facebook.com/Dr-Prachi-Bhattars-Skin-Hair-Clinic-Cosmetology-Center-1956047364668419/,09516102222
4174,Makhija Skin Clinic - Dr. Nishant Makhija - Skin Specialist in Raipur,4.8,247,Skin care clinic,"37/83, MAKHIJA BHAVAN, above DENA BANK",Online appointments,"{""latitude"":""21.2465147"",""longitude"":""81.6328411""}",http://makhijaskinclinic.com/http://makhijaskinclinic.com/,08369925083
4175,Sai Dental Clinic,3.8,9,Dental clinic,Dental clinic,,"{""latitude"":""21.2420949"",""longitude"":""81.6418625""}",,09424232940
4177,Sparsh Skin & Dental Clinic|Dr Vartika Sahu - Best Orthodontist Raipur|Dr Ajit Kumar - Skin Clinic In Raipur,5.0,43,Dermatologist,"Bus Stand, 2/2 Govind nagar, near guru hotel, opposite pandari","""The best dental clinic in raipur""","{""latitude"":""21.2505227"",""longitude"":""81.6472351""}",https://sparsh-skin-dental-clinc.business.site/,09795224877
4178,"Shivam Dental & Maxillofacial Clinic, Implant center and Hair transplant center",4.9,119,Oral and maxillofacial surgeon,"Shop no. G6, ground floor, National Corporate Park,, near rajkumar college, GE road, Raipur.","""Absolutely fabulous clinic""","{""latitude"":""21.2443911"",""longitude"":""81.6110456""}",https://shivam-dental-maxillofacial-clinic-drsheetalkapse.business.site/,09981298209
4179,Dr. Srishti's Skin Clinic,5.0,13,Medical clinic,"First Floor, Netra Chikitsalaya, Dr. Srishti's Skin Clinic, Phool Chowk Main Rd, near Hotel Venkatesh International",,"{""latitude"":""21.2423059"",""longitude"":""81.6338729""}",,07489771443
4180,Nishant Dental Care,4.9,14,Dental clinic,"Garchaz complex, Jail road, near kachehri chowk","""... had a great & comfortable experience at Nishant Dental Care Clinic.""","{""latitude"":""21.2480155"",""longitude"":""81.6418527""}",,08329476680
4183,Sachdev Skin Hair & Aesthetic Clinic - Dr. Divya Sachdev,5.0,18,Skin care clinic,"B-5, Samta Colony Main Rd, opposite natural's icecream parlour","""Nice Clinic ... Friendly doctor and well behaved staff.""","{""latitude"":""21.2462399"",""longitude"":""81.6238155""}",,07828080783
4185,Agrawal Neuro Clinic,5.0,5,Medical diagnostic imaging center,"Between OCM chowk and Mahila Thana, near Bhattar Clinic",,"{""latitude"":""21.2373254"",""longitude"":""81.6425046""}",,09343458509
4186,Pristyn Care Best Ophthalmology | Eye Clinic | Cataract & Lasik | Retinal Treatment | Diabetic Retinopathy | Squint in Raipur,,,Eye care center,"Chamber No. 6, Main Road, opposite Timber Bhawan",,"{""latitude"":""21.2605844"",""longitude"":""81.6426016""}",https://www.pristyncare.com/raipur/?utm_source=gmb&utm_medium=organic&utm_campaign=doctor-gmb,07303658623
4190,Makhija Dental Clinic,5.0,339,Dental clinic,"Makhija Bhavan, Mahatma Gandhi Rd, opposite Dutta Drycleaners","""raipur best clinic makhija""","{""latitude"":""21.2465062"",""longitude"":""81.6328864""}",https://makhija-dental-clinic.business.site/?utm_source=gmb&utm_medium=referral,07974113764
4197,Apollo Pharmacy Fafadih Raipur,,,Pharmacy,"21/814/815, Ground Floor, Raipur - Bilaspur Expy",,"{""latitude"":""21.2614054"",""longitude"":""81.6403179""}",https://www.apollopharmacy.in/medical-stores,07714904527
4200,BOMBAY CHEMIST,2.0,1,Pharmacy,"MAIN ROAD, SH 2",Delivery,"{""latitude"":""21.2599709"",""longitude"":""81.636765""}",,09329107000
4203,M.M. Hospital Pharmacy,,,Pharmacy,"7J6P+5JX, Fafadih Road Chowk, Infront Of Choti Line",,"{""latitude"":""21.2604861"",""longitude"":""81.6366166""}",,07712527776
4204,Apollo Pharmacy Samatha Colony,4.2,14,Pharmacy,Agrasen Chowk,In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2464552"",""longitude"":""81.6247901""}",https://www.apollopharmacy.in/medical-stores,07714052804
4206,Apollo Pharmacy Devendra Nagar,4.2,6,Pharmacy,"c 22, near, Gujarati School Rd",In-store shoppingDelivery,"{""latitude"":""21.2582702"",""longitude"":""81.6470969""}",https://www.apollopharmacy.in/medical-stores,07714020562
4207,Priya Medical,3.4,9,Pharmacy,"7J5J+2FG, Station Chowk, Station Rd",In-store shopping,"{""latitude"":""21.2575559"",""longitude"":""81.631208""}",,09827985470
4212,RATNA MEDICAL STORES,4.5,4,Pharmacy,"85, Station Rd, near Station Gurudwara",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2546921"",""longitude"":""81.630069""}",,07697600201
4213,RATNA MEDICAL STORES,4.5,4,Pharmacy,"85, Station Rd, near Station Gurudwara",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2546921"",""longitude"":""81.630069""}",,07697600201
4214,Om Medicose,,,Pharmacy,"7J5M+F23, Station Rd & Satkar Hotel Gali",In-store shopping,"{""latitude"":""21.258637"",""longitude"":""81.632539""}",,09893867991
4219,Jai Laxmi Medical & General Stores,3.3,4,Pharmacy,"7J7P+HW3, Fafadih Rd",In-store shoppingDelivery,"{""latitude"":""21.263889"",""longitude"":""81.637311""}",,09827152266
4223,Ankur Medicose,5.0,1,Pharmacy,NEAR DR R M TUTEJA FAFADHI CHOWK,,"{""latitude"":""21.2531649"",""longitude"":""81.6320809""}",,07714091052
4226,Shiv Medical and Genral Stores,1.0,1,Pharmacy,7J6F+4HM,,"{""latitude"":""21.260328"",""longitude"":""81.6239236""}",,09340000237
4231,Netmeds Pharmacy,,,Pharmacy,"Ward No 39, Anant Rai Majithia, SMART Point, Plot 14, South Ave",,"{""latitude"":""21.2449095"",""longitude"":""81.6142332""}",https://www.netmeds.com/,09321997969
4244,Poonam Medical Stores,3.2,5,Pharmacy,"Sharma Market, Neat S.B.I. Bank, Fafadih Rd",Delivery,"{""latitude"":""21.2620422"",""longitude"":""81.6377581""}",,09827874727
4249,Guru Medicose,3.0,4,Pharmacy,"7J5X+VW3, Devendra Nagar Road",,"{""latitude"":""21.2596453"",""longitude"":""81.6497871""}",,09300201122
4250,SHREE RAM MEDICAL STORE,,,Pharmacy,8,,"{""latitude"":""21.2441153"",""longitude"":""81.631637""}",,09399007927
4251,Apollo Pharmacy Mowa Branch Raipur,5.0,1,Pharmacy,"109, Main Rd",In-store shoppingDelivery,"{""latitude"":""21.2574898"",""longitude"":""81.6548522""}",https://www.apollopharmacy.in/medical-stores,07714240002
4254,Khatri Medical & Surgicals,5.0,4,Pharmacy,"41, Medical Complex, G E Road, G E Road",Delivery,"{""latitude"":""21.2513579"",""longitude"":""81.6296302""}",,07714030813
4255,Shree Goel Medicos,4.1,9,Pharmacy,"Dammani Building,Near Ramji Halwai,Opposite Sahu Building,",In-store shoppingDelivery,"{""latitude"":""21.247786"",""longitude"":""81.630807""}",,07712292186
4258,P R Medical,,,Pharmacy,"Main Rd, opp. mahesh bhavan",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2665413"",""longitude"":""81.6317522""}",,09907430300
4259,Gurukripa Medicals,4.0,4,Pharmacy,"7J2W+8JJ, Bus Stand Rd",,"{""latitude"":""21.2508367"",""longitude"":""81.6465053""}",,07714058846
4260,kamra medicals,4.0,2,Pharmacy,"7J6P+WQ6, opp. s.b.i. phaphadih branch main rod phaphadih",Delivery,"{""latitude"":""21.2622887"",""longitude"":""81.6368866""}",,07714055393
4261,Om medical stores,5.0,4,Pharmacy,Deshbandhu Press Rd,In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.2457308"",""longitude"":""81.6292277""}",,09039774638
4262,Sai Medical Stores,4.0,1,Pharmacy,"Shop No. A- 2, RDA Building, Gurunanak Market, Sharda Chowk",,"{""latitude"":""21.2431245"",""longitude"":""81.6338911""}",,09926133330
4264,Sanjay Medishop,3.8,5,Pharmacy,"A-4, Garcha Complex",In-store shoppingDelivery,"{""latitude"":""21.2482022"",""longitude"":""81.6422367""}",,07714051700
4267,MANGAL MEDICAL,5.0,2,Pharmacy,"Mangal Bhavn compound, Near Escorts hospital., Jail Rd",Delivery,"{""latitude"":""21.2487847"",""longitude"":""81.6407746""}",,08819942700
4271,Laxmi Medical Store,3.6,132,Pharmacy,"Amrit Sandesh Complex, Great Eastern Rd, opp. Tahsil Office",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2455069"",""longitude"":""81.63994""}",http://www.laxmimedicalstore.com/,07247210000
4273,Gurukripa Medical Store,5.0,2,Pharmacy,"Shop no -3, Samrajya Business plaza, Khamtarai, Shri Nagar Rd, near Hotel Paradise",In-store shopping,"{""latitude"":""21.2691794"",""longitude"":""81.625777""}",,07714053084
4274,Sneha Medical Store,2.5,2,Pharmacy,"7J2R+P87, Near Hospital, Jail Rd",,"{""latitude"":""21.2517979"",""longitude"":""81.6407956""}",,07714024688
4276,Aashish Medicos,,,Pharmacy,"6JWQ+W3Q, Rajandha Maidan, BJP COMPLEX",Delivery,"{""latitude"":""21.247328"",""longitude"":""81.637745""}",,07714059941
4277,Ram Krishna Medicos,5.0,1,Pharmacy,"Shop No.5, Swadeshi Building, Madhu Pillai Chowk",,"{""latitude"":""21.246315"",""longitude"":""81.632931""}",,09098401351
4279,Radhe Medical,5.0,2,Pharmacy,Radhe Apartment,,"{""latitude"":""21.2616038"",""longitude"":""81.6231773""}",,09329178289
4284,Ambika Homoeo Pharmacy,5.0,6,Pharmacy,"6JQP+XMM, Banshi Bhawan,Chikni Mandir Chowk, Malviya Rd",Delivery,"{""latitude"":""21.2399698"",""longitude"":""81.6366714""}",,07712227163
4287,Rajeev medical agencies,5.0,6,Pharmacy,"20, New Medical Complex",,"{""latitude"":""21.2471212"",""longitude"":""81.6402574""}",,09926111600
4288,City Medical Stores,5.0,2,Pharmacy,"6JRC+976, Great Eastern Rd, near Vivekanand Ashram",,"{""latitude"":""21.240907"",""longitude"":""81.620656""}",,07714052737
4289,Neelkanth Medical Agency,5.0,1,Pharmacy,"1st Floor, Medical Complex, Rajbandha, CG",Delivery,"{""latitude"":""21.2465211"",""longitude"":""81.6393559""}",,08889915551
4290,Om Medicos,3.7,3,Pharmacy,Pharmacy,Delivery,"{""latitude"":""21.2583311"",""longitude"":""81.6425052""}",,09229334433
4292,Laxmi Medical Hall,3.2,15,Pharmacy,"416, Samta Colony Main Rd",In-store shoppingDelivery,"{""latitude"":""21.2461467"",""longitude"":""81.6262471""}",http://laxmimedicalhall.com/,06260231500
4303,Rajeev Distributors,3.4,5,Pharmacy,"20, New Medical Complex",Delivery,"{""latitude"":""21.2470673"",""longitude"":""81.6400695""}",https://sites.google.com/site/rajeevmedical/,07712539582
4305,Prism Medicals Agrasen Chowk,4.9,39,Pharmacy,"Agrasen Chowk, opposite Dr Gopal Dhabalia Clinic",In-store pick-upDelivery,"{""latitude"":""21.2459482"",""longitude"":""81.62654""}",http://www.prismmedicals.in/,09827144441
4306,Dr.A.Ghani Homoeopathy pharmacy,5.0,1,Homeopathic pharmacy,"Malviya Rd, near city kotwali",In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.2471833"",""longitude"":""81.6351261""}",https://draghani-homoeo-pharmacy.business.site/?utm_source=gmb&utm_medium=referral,07712227791
4309,Shubh Medical,3.0,1,Pharmacy,"7J6V+55F, C/o Heritage Hospital",Delivery,"{""latitude"":""21.260443"",""longitude"":""81.6429189""}",,07714011793
4313,Moudhapara Police Station,4.6,7,Police station,"6JWP+26J, KK Rd, Opposite to Laxmi Auto Engineers Pvt. Ltd.",,"{""latitude"":""21.2450886"",""longitude"":""81.6355138""}",http://cgpolice.gov.in/,07714247139
4316,Gudhiyari Police Thana,4.0,22,Police station,7J5C+XFP,"""Peoples have to support police to do their job done.""","{""latitude"":""21.2599688"",""longitude"":""81.6211959""}",,09407924310
4317,Ganj Police Station,4.8,5,State police,"7J4P+GH2, station road Guru Gobind singh square Devendra Nagar, New Timber Market Rd","""Vary good police staf and behavior is vary good and responsible...""","{""latitude"":""21.2562684"",""longitude"":""81.6363998""}",https://raipur.gov.in/police-station/,07714247122
4319,Police Station - Golbazar,4.2,9,Police station,"6JRP+6GJ, Malviya Rd",,"{""latitude"":""21.240592"",""longitude"":""81.636279""}",,07714247135
4320,City Kotwali Police Station,4.3,26,Police station,"6JPQ+X2W, Chhotapara Rd",,"{""latitude"":""21.2374984"",""longitude"":""81.6375646""}",https://raipur.gov.in/police-station/,07714247121
4326,Civil Line Thana,3.9,11,Police station,"2615, Raj Bhawan Rd, Near New Circuit House",,"{""latitude"":""21.239364"",""longitude"":""81.6485825""}",https://raipur.gov.in/hi/%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8-%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/,07714247123
4331,Saraswati Nagar Police Station,4.0,31,Police station,"7H2X+QW2, Great Eastern Rd, Beside Amarnath Bus Depot",,"{""latitude"":""21.2518861"",""longitude"":""81.5997616""}",,09479191034
4332,Police Station Mowa,3.4,31,Police station,"7M9C+4F7, Vidhan Sabha Rd",,"{""latitude"":""21.2677999"",""longitude"":""81.6711831""}",,07714247124
4335,Police Station,3.2,9,Police station,"6HHW+9VM, Pandit",,"{""latitude"":""21.2284527"",""longitude"":""81.5971647""}",https://raipur.gov.in/police-station/,07714247140
4336,Purani Basti Police Station,3.7,23,Police station,"50/394, Main Rd","""Good place, Friendly staff supportive police jai hindi jai bharat""","{""latitude"":""21.2338173"",""longitude"":""81.6285484""}",,07714247127
4345,"Office Of Superintendent Of Police, Raipur",4.1,22,Police department,Senior superintendent of police office,,"{""latitude"":""21.2465749"",""longitude"":""81.6438131""}",http://cgpolice.gov.in/,07712511253
4351,Mahila Thana,3.4,20,Police,"6JPR+MJM, Byron Bazar rd Nera Aashirwad Bhawan","""This is a police station manned by female police staff.""","{""latitude"":""21.2367033"",""longitude"":""81.6415441""}",http://cgpolice.gov.in/,07714247133
4368,Police Quarters,,,Police department,6JMR+2WW,,"{""latitude"":""21.2326143"",""longitude"":""81.6423365""}",,07714247117
4374,NIRAKAR MULTISPECIALITY HOSPITAL. Purani basti police station nearest,5.0,3,Hospital department,6JMH+RC6,,"{""latitude"":""21.2345298"",""longitude"":""81.6285466""}",,09893299953
4375,KUMHARI Police station,2.8,19,Police station,"6GXC+PG6, Station Rd","""Good Staff and Good Police Officer's""","{""latitude"":""21.2492878"",""longitude"":""81.5212771""}",,09479192048
4377,Police Station,3.2,13,Police station,"6QGM+RPJ, Mandir Hasaud",,"{""latitude"":""21.2270888"",""longitude"":""81.7842657""}",,09479191051
4397,Ocean Academy Raipur for Army NDA CDS Police,4.4,189,Coaching Center,"Masjid Road Behind Saraswati Nagar, police station",,"{""latitude"":""21.2535203"",""longitude"":""81.6010337""}",http://oceanraipur.com/,09109755887
4408,Nagar Palika Nigam Raipur,3.9,196,Municipal Corporation,"6JPR+G2C, Azad Chowk Rd, Near Mahila Police Thana","""... experience in gadhi chowk to railway station route Everyday ladies ...""","{""latitude"":""21.2363164"",""longitude"":""81.6400179""}",http://nagarnigamraipur.nic.in/,07712535780
4442,ShreeSidhivinayak Fire Services Ltd,,,Fire protection equipment supplier,"D9:201 Sector 21/22 Near Apollo Hospital CBD, Rani Sati Marg",,"{""latitude"":""21.2513581"",""longitude"":""81.6296302""}",http://ssvfireservices.com/,09819063081
4449,Patnagarh fire station,4.3,4,Fire station,"P545+34M, Fire Station Rd",,"{""latitude"":""20.7052076"",""longitude"":""83.1578015""}",, 0665806658
4462,"Fire Station, Bargarh",4.4,5,Fire station,"8JVM+M7C, Railway Station - Gurudwara Chowk Rd",,"{""latitude"":""21.344185"",""longitude"":""83.6331417""}",http://odishafshgscd.gov.in/, 0664606646
4466,Fire Station Dunguripali,3.0,4,Fire station,"Subarnapur, NH-201, Boriguma Baragarh Highway, Bada Patamunda",,"{""latitude"":""21.0151914"",""longitude"":""83.549733""}",,08280308503
4467,Fire Station Sohela,,,Fire station,893X+3H9,,"{""latitude"":""21.3026713"",""longitude"":""83.3989981""}",http://odishafshgscd.gov.in/,08280765020
4479,FIRE FREE ENGINEERS,5.0,3,Fire protection service,BESIDES MAHARASTRA BHAWAN,,"{""latitude"":""21.2439534"",""longitude"":""81.6165261""}",,09425211527
4510,Fire Station Godavarikhani,4.5,4,Fire station,QG42+VWJ,,"{""latitude"":""18.75722"",""longitude"":""79.5022721""}",,08728244599
4520,Fire Station Bobbili,4.3,3,Fire station,"Vizianagaram, SH-36, Bobbili Road, Bobbili",,"{""latitude"":""18.5782838"",""longitude"":""83.3492665""}",,08228255223
4522,Buguda Fire Station,3.7,6,Fire station,RQ4W+F52,,"{""latitude"":""19.8061438"",""longitude"":""84.7954044""}",, 0681806818
4543,INDIA POST GANJ,3.2,34,Post office,"7J4J+PPH, Hotel Sudha Regency, Station Rd",,"{""latitude"":""21.2568166"",""longitude"":""81.631856""}",http://www.indiapost.gov.in/,07712880361
4544,Railway Post Office,2.5,4,Post office,131/2,,"{""latitude"":""21.2578683"",""longitude"":""81.6282865""}",,07714025406
4549,India Post Office Pandri,2.9,36,Post office,"Street Number 3, Main Rd, behind Ashoka Hospital",,"{""latitude"":""21.2573253"",""longitude"":""81.6550523""}",http://www.indiapost.gov.in/,07712426226
4551,Byron Bazar Sub Post Office,3.0,26,Post office,6JMW+JM5,,"{""latitude"":""21.2340107"",""longitude"":""81.6467385""}",http://www.indiapost.gov.in/,07712427035
4555,WRS Colony Post Office,3.6,25,Post office,"148, 8th Ln",,"{""latitude"":""21.2766005"",""longitude"":""81.6402274""}",http://www.indiapost.gov.in/,07712252405
4592,Mana Post Office,3.7,19,Post office,5PV8+8R7,,"{""latitude"":""21.1932958"",""longitude"":""81.7170613""}",,07712418112
4615,Post Office Uparwara,3.7,3,Post office,4Q86+VV2,,"{""latitude"":""21.1171386"",""longitude"":""81.7621413""}",,09630536777
4646,Gajber Choice centre,3.1,18,Post office,"3P3W+9QH, Khorpa",,"{""latitude"":""21.0534447"",""longitude"":""81.7469729""}",http://www.indiapost.gov.in/,07712774210
4650,POST OFFICE DEORI,4.7,15,Post office,Post office,,"{""latitude"":""21.469571"",""longitude"":""81.691174""}",,07970356403
4656,Indian Post Office,3.4,68,Post office,"57PG+CP3, Head Post Office",,"{""latitude"":""21.1860115"",""longitude"":""81.2767889""}",http://www.indiapost.gov.in/,07223930802
4690,Air & Rail E- Ticket,4.0,1,Airline ticket agency,"8J4G+877, Main Rd & Bilaspur Road, Near Water Tank",,"{""latitude"":""21.3057923"",""longitude"":""81.625674""}",,09893100310
4693,Air ambulance service and private charter or helicopter service Raipur chhattisgarh,4.8,6,Airline,Swami Vivekananda Airport,,"{""latitude"":""21.2348161"",""longitude"":""81.6210552""}",,08602521215
4709,Frankfinn Institute of Air Hostess Training,4.7,272,Aviation training institute,"3rd Floor S K Heights, Mandi Rd, opp. Narayana hospital, next to Faber","""... at Delhi Airport""","{""latitude"":""21.2624937"",""longitude"":""81.6486779""}",https://aviation.raipurdaily.com/,07471171111
4729,Sardar Road Carrier,5.0,1,Transportation service,"Sardar dhaba complex, Near, Ring Rd Number 2",,"{""latitude"":""21.2668512"",""longitude"":""81.5797923""}",,09425202598
4732,VIRAJ TRAVELS,4.9,54,Car rental agency,"House No 97, Kandul, Road, near Sungam Marriage Palace",,"{""latitude"":""21.2435068"",""longitude"":""81.6603255""}",,09753417198
4756,Verma matador transport services,4.0,5,Transportation service,"8J8Q+QQ8, Jai bhawani complex, Rawabhata, T. P nagar",,"{""latitude"":""21.316915"",""longitude"":""81.639444""}",,09827925519
4758,Kanker Roadways,3.2,309,Transportation service,"6MR2+QGJ, Great Eastern Rd","""Best natural Swami Vivekananda International Airport""","{""latitude"":""21.2419571"",""longitude"":""81.6512784""}",http://www.kankerroadways.in/,07712424642
4763,Prasad Tour & Travels,4.7,39,Travel agency,"Shop No. - 9, Ram Bagh, VIP Rd, opp. Ram Mandir",On-site servicesOnline appointments,"{""latitude"":""21.2373887"",""longitude"":""81.6809614""}",http://www.prasadtravels.online/,08889467999
4769,TCI EXPRESS LIMITED,2.7,18,Transportation service,Ward No. 32 Opp Mini Stadium,,"{""latitude"":""21.2072843"",""longitude"":""81.4055968""}",https://www.tciexpress.in/,07581810228
4778,Tannu Mini Transport,,,Transportation service,Paras Nagar Rd,,"{""latitude"":""21.2566474"",""longitude"":""81.6418166""}",,07869911833
4803,Eye Port,,,Optician,"Netaji Chowk, opposite Wine Shop",,"{""latitude"":""21.2351"",""longitude"":""81.6506666""}",,09329114544
4845,Gopalpur Port,4.2,64,Port authority,"7WRX+2M7, Port road, Chatrapur","""One of the excellent ports of Odisha.""","{""latitude"":""19.2900424"",""longitude"":""84.9491835""}",http://www.gopalpurports.com/,09556803037
4849,Bade Tariya Sasaholi Dilip,4.0,2,River port,HQ7R+5F3,,"{""latitude"":""21.5628775"",""longitude"":""81.791165""}",,07489785490
4851,Passport Seva Kendra,3.2,223,Passport office,"Shyam Plaza, Unit S -5, Second Floor Opp. New Bus Stand",,"{""latitude"":""21.2495078"",""longitude"":""81.6459237""}",http://passportindia.gov.in/AppOnlineProject/rpo/rpoPages/rpoRaipur/raipurRPO.html,07712263922
4873,ShirtPort (Raipur),4.9,65,Casual Clothing Store,"Shop No 1, Near City Center Mall","""Awesome experience with shirt port""","{""latitude"":""21.2541944"",""longitude"":""81.6474953""}",,06265444135
4875,(RKM) - HAIRPORT,4.2,103,Hair salon,"Sector 2 Jhanda Chowk, Shivanand Nagar Rd",,"{""latitude"":""21.2721713"",""longitude"":""81.6317162""}",https://rkm-hairport.business.site/,08878231000
4878,PORT REGISTRATION OFFICE(IMMIGRATION),4.3,10,Port authority,"P73Q+GW2, Sea Port Area",,"{""latitude"":""17.7037735"",""longitude"":""83.2897531""}",http://www.vizagport.com/,08912521206
4898,Excellence Yoga,4.2,5,Yoga studio,"Excellence Yoga, 2nd Floor, Shri Vatsa Dham Infront Of Pass Port Office Deen Dayal Upadhyay Nagar",,"{""latitude"":""21.2380737"",""longitude"":""81.5963072""}",,08319124145
